Group,Period,Annualized Return %,Years
India Under-served,2014,88.124826608145,3
India Under-served,2015,106.91911053215965,3
India Under-served,2016,105.98096983138258,3
India Under-served,2017,70.12170918238205,3
India Under-served,2018,40.08976244110192,3
India Under-served,2019,7.157428790879114,3
India Under-served,2020,-12.068594726179322,3
India Under-served,2021,55.54544466647141,3
India Under-served,2022,146.13265409431847,3
India Under-served,2023,210.84342495557794,3
India Under-served,2024,179.6339224492952,3
S&P BSE 500,2014,45.88924466226524,3
S&P BSE 500,2015,59.041239392172294,3
S&P BSE 500,2016,49.64465140091773,3
S&P BSE 500,2017,43.304016435749816,3
S&P BSE 500,2018,35.54691950117371,3
S&P BSE 500,2019,38.030449143590836,3
S&P BSE 500,2020,8.408101626230232,3
S&P BSE 500,2021,47.05422310001236,3
S&P BSE 500,2022,57.97504887280681,3
S&P BSE 500,2023,80.7113803558382,3
S&P BSE 500,2024,69.09577503249949,3
